kml_nombre,kml_lat,kml_lon,kml_capa,kml_category,action,osm_id,osm_name,distance_m,notes
PL-1,-8.1103696,-78.9974003,"LAREDO, Puntos_Paraderos",green,new,,,,
PL-101,-8.1095524,-78.9948321,LAREDO,green,new,,,,
PL-102,-8.1093621,-78.9948451,LAREDO,green,new,,,,
PL-106,-8.1076209,-78.9864444,LAREDO,green,new,,,,
PL-107,-8.1110742,-78.9958627,LAREDO,green,new,,,,
PL-11,-8.0869016,-78.9617648,LAREDO,green,new,,,,
PL-14,-8.0868472,-78.9552859,LAREDO,green,new,,,,
PL-16,-8.0916573,-78.9613551,LAREDO,green,new,,,,
PL-19,-8.0854975,-78.9577498,LAREDO,green,new,,,,
PL-22,-8.0848220,-78.9555062,LAREDO,green,new,,,,
PL-23,-8.0883177,-78.9556018,LAREDO,green,new,,,,
PL-24,-8.0758886,-78.9482263,LAREDO,green,new,,,,
PL-25,-8.0881079,-78.9810106,LAREDO,green,new,,,,
PL-31,-8.0851706,-78.9578491,LAREDO,green,new,,,,
PL-35,-8.0850274,-78.9632986,LAREDO,green,new,,,,
PL-38,-8.0883313,-78.9631260,LAREDO,green,new,,,,
PL-39,-8.0911790,-78.9631954,LAREDO,green,new,,,,
PL-4,-8.0883490,-78.9633385,LAREDO,green,new,,,,
PL-43,-8.0868147,-78.9610188,LAREDO,green,new,,,,
PL-44,-8.0798557,-78.9506950,LAREDO,green,new,,,,
PL-46,-8.0916888,-78.9611012,LAREDO,green,new,,,,
PL-49,-8.0867359,-78.9552554,LAREDO,green,new,,,,
PL-50,-8.0882486,-78.9554197,LAREDO,green,new,,,,
PL-51,-8.0881891,-78.9811610,LAREDO,green,new,,,,
PL-53,-8.0849631,-78.9555310,LAREDO,green,new,,,,
PL-56,-8.0846371,-78.9890264,LAREDO,green,new,,,,
PL-57,-8.0849172,-78.9889824,LAREDO,green,new,,,,
PL-58,-8.0862668,-78.9848485,LAREDO,green,new,,,,
PL-59,-8.0860585,-78.9846859,LAREDO,green,new,,,,
PL-6,-8.0804878,-78.9517437,LAREDO,green,new,,,,
PL-60,-8.0889783,-78.9784444,LAREDO,green,new,,,,
PL-61,-8.0887469,-78.9782674,LAREDO,green,new,,,,
PL-62,-8.0922870,-78.9682795,LAREDO,green,new,,,,
PL-63,-8.0924901,-78.9681419,LAREDO,green,new,,,,
