relation_id,ref,name,n_paradas_v1,n_paradas_v2,paradas_nuevas,paradas_removidas,paradas_repetidas
19965855,C-01 B,Calle Diego Quispe Tito → Calle José la Rivera,44,44,0,0,0
19966163,C-02 H,Avenida Alan García → Avenida Federico Villarreal,46,46,0,0,0
19966193,M-10 B1,Avenida Libertad → Avenida Los Tulipanes,43,43,0,0,0
19966196,M-10 B1,Avenida Los Tulipanes → Avenida Libertad,41,41,0,0,0
19966201,C-03 JJ,Calle de los Jasmines → Calle Santa Rosa,52,52,0,0,0
19966210,C-02 H,Avenida Federico Villarreal → Avenida Alan García,33,33,0,0,0
19966215,C-03 JJ,Calle Santa Rosa → Calle de los Jasmines,53,53,0,0,0
19966218,C-04 XS,Calle de los Jasmines → Avenida Federico Villarreal,52,52,0,0,0
19966224,C-04 XS,Avenida Federico Villarreal → Calle de los Jasmines,35,35,0,0,0
19966226,C-05 B1,Calle Jirón Cuba → Avenida Federico Villarreal,43,43,0,0,0
19966253,C-05 B1,Avenida Federico Villarreal → Calle Jirón Cuba,34,34,0,0,0
19966264,C-06 K,El Reposo → Calle Señor de Los Milagros,60,60,0,0,0
19966270,C-06 K,Calle Señor de Los Milagros → El Reposo,44,44,0,0,0
19966288,C-07 Z1,El Reposo → Calle 9 de Octubre,49,49,0,0,0
19966297,C-07 Z1,Calle 9 de Octubre → El Reposo,46,46,0,0,0
19967351,C-08 O,Calle Jirón los Algarobos → Calle San Martín,42,42,0,0,0
19967429,C-41 Z2,Distrito Huanchaco → Avenida Dinamarca,48,48,0,0,0
19967529,C-09 E,Distrito Huanchaco → Calle San Gabriel,39,39,0,0,0
19967536,C-09 E,Calle San Gabriel → Distrito Huanchaco,40,40,0,0,0
19967551,C-10 M,Campiña de Moche → Avenida Los Incas,24,24,0,0,0
19967562,C-10 M,Avenida Los Incas → Campiña de Moche,21,21,0,0,0
19967583,C-11 T1,Calle Jirón Santa Isabel → Alto Porvenir,51,51,0,0,0
19967604,C-11 T1,Alto Porvenir → Calle Jirón Santa Isabel,46,46,0,0,1
19967639,C-11 T1,Calle Jirón Santa Isabel → Alto Porvenir,51,51,0,0,0
19967670,C-11 T1,Alto Porvenir → Calle Jirón Santa Isabel,46,46,0,0,1
19967674,C-11 T1,Panamericana Norte → Alto Porvenir,52,52,0,0,0
19967678,C-11 T1,Alto Porvenir → Panamericana Norte,46,46,0,0,1
19967679,C-11 T1,Alto Porvenir → Panamericana Norte,46,46,0,0,1
19968040,C-39 S,Calle Jirón Santa Isabel → Calle Inca Roca,50,50,0,0,0
19968053,C-39 S,Calle Inca Roca → Calle Jirón Santa Isabel,45,45,0,0,0
19968101,C-12 B,Sector Taquila → Carlos García Ronceros,44,44,0,0,0
19968109,C-12 B,Carlos García Ronceros → Sector Taquila,48,48,0,0,0
19968121,C-13 D,Avenida 12 de Noviembre → Calle Miguiel Graú,52,52,0,0,0
19968127,C-13 D,Calle Miguiel Graú → Avenida 12 de Noviembre,52,52,0,0,0
19968129,C-45 C,Avenida 12 de Noviembre → Calle Miguiel Graú,61,61,0,0,0
19968140,C-45 C,Calle Miguiel Graú → Avenida 12 de Noviembre,60,60,0,0,0
19968169,C-14 S,Calle José Galvez → Campiña de Moche,20,20,0,0,0
19968174,C-43 A,Calle Dieciseis → Avenida Miguel Grau,51,51,0,0,0
19968178,C-43 A,Avenida Miguel Grau → Calle Dieciseis,50,50,0,0,0
19968183,C-16 I,Ciudad de Dios → Avenida Antenor Orrego,21,21,0,0,0
19968195,C-16 I,Avenida Antenor Orrego → Ciudad de Dios,27,27,0,0,0
19968210,C-17 F,Ciudad de Dios → Avenida Juan Pablo II,33,33,0,0,0
19968338,C-17 F,Avenida Juan Pablo II → Ciudad de Dios,37,37,0,0,0
19968352,C-18 P,Cruce Vial S/N → Avenida Cesar Vallejo,23,23,0,0,0
19968383,C-19 NN,Avenida Victor Raul Haya de la Torre → Barrio 5C,33,33,0,0,0
19968388,C-19 NN,Barrio 5C → Avenida Victor Raul Haya de la Torre,32,32,0,0,0
19970882,C-23 S1,Calle Venezuela → Calle José Joaquín Inclán,49,49,0,0,0
19970891,C-23 S1,Calle José Joaquín Inclán → Calle Venezuela,56,56,0,0,0
19970967,"C-24 H1, H2",Calle 01 → Avenida Larco,84,84,0,0,2
19971395,M-26 B,Calle Alfonso Ugarte → Futuro Barrio 5C,65,65,0,0,1
19971408,M-27 AB,Avenida Libertad → Avenida Libertad,43,43,0,0,0
19971409,M-27 AB,Avenida Libertad → Avenida Libertad,55,55,0,0,2
19971413,M-28 A,Primavera III → Avenida los Pajuiles,45,45,0,0,0
19971417,M-28 A,Avenida los Pajuiles → Primavera III,39,39,0,0,0
19971427,C-20 UI,Valle Sol → Alto Trujillo,62,62,0,0,0
19971440,C-20 UI,Alto Trujillo → Valle Sol,61,61,0,0,0
19971942,M-13 C1,Ciudad de Dios → Ciudad de Dios,56,56,0,0,1
19971967,M-14 C3,Óvalo Larco → Ciudad de Dios,36,36,0,0,0
19971999,M-15 C2,Ciudad de Dios → Sector Santa María Alta,73,73,0,0,2
19972008,M-29 B,Calle Liverpool → Primavera,44,44,0,0,0
19972010,M-30 D,Calle 11 → Calle César Vallejo,78,78,0,0,21
19972018,M-30 D,Calle César Vallejo → Calle 11,70,70,0,0,19
19972027,M-31 A,Calle Nuevo Indoamérica → Avenida América Sur,45,45,0,0,0
19972041,M-32 A1-B1,Sector Nuevo Indoamérica → Buenos Aires Sur,82,82,0,0,12
19972045,M-32 A1-B1,Buenos Aires Sur → Sector Nuevo Indoamérica,78,78,0,0,12
19972046,M-33 B,Calle Santa Ana → Avenida América Sur,84,84,0,0,0
19972051,M-33 B,Avenida América Sur → Calle Santa Ana,84,84,0,0,0
19972060,C-01 B,Calle José la Rivera → Calle Diego Quispe Tito,48,48,0,0,0
19972065,C-08 O,Calle San Martín → Calle Jirón los Algarobos,43,43,0,0,0
19972072,C-41 Z2,Avenida Dinamarca → Distrito Huanchaco,43,43,0,0,0
19972081,C-25 S2,Avenida Julian Arce → Calle Manuel Romero,49,49,0,0,0
19972086,C-25 S2,Calle Manuel Romero → Avenida Julian Arce,46,46,0,0,0
19972095,C-26 U,Avenida Julian Arce → Óvalo Grau,44,44,0,0,0
19972103,C-14 S,Campiña de Moche → Calle José Galvez,23,23,0,0,0
19972121,C-21 R,Valle Sol → Alto Trujillo,63,63,0,0,0
19972123,C-26 U,Óvalo Grau → Avenida Julian Arce,45,45,0,0,0
