relation_id,type,route,ref,name,from,to,operator,network,colour,public_transport_version
19972508,route,bus,C-15 P1,Sector Tres Cruces → Avenida America del Sur,Sector Tres Cruces,Avenida America del Sur,SANTA ROSA S.R.L.,Transporte Público Urbano Trujillo,#c90076,2
19988601,route,bus,C-15 P1,Sector Tres Cruces → Avenida América Sur,Sector Tres Cruces,Avenida América Sur,POROTO S.A.,Transporte Público Urbano Trujillo,#808080,2
19968195,route,bus,C-16 I,Avenida Antenor Orrego → Ciudad de Dios,Avenida Antenor Orrego,Ciudad de Dios,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19968183,route,bus,C-16 I,Ciudad de Dios → Avenida Antenor Orrego,Ciudad de Dios,Avenida Antenor Orrego,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19968338,route,bus,C-17 F,Avenida Juan Pablo II → Ciudad de Dios,Avenida Juan Pablo II,Ciudad de Dios,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19968210,route,bus,C-17 F,Ciudad de Dios → Avenida Juan Pablo II,Ciudad de Dios,Avenida Juan Pablo II,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19988569,route,bus,C-18 P,Avenida Cesar Vallejo → Cruce Vial S/N,Avenida Cesar Vallejo,Cruce Vial S/N,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19968352,route,bus,C-18 P,Cruce Vial S/N → Avenida Cesar Vallejo,Cruce Vial S/N,Avenida Cesar Vallejo,VIRGEN DEL ARCO S.A.,Transporte Público Urbano Trujillo,#cc3333,2
19968383,route,bus,C-19 NN,Avenida Victor Raul Haya de la Torre → Barrio 5C,Avenida Victor Raul Haya de la Torre,Barrio 5C,MENSAJEROS DEL SEÑOR S.A.,Transporte Público Urbano Trujillo,#0b5394,2
19968388,route,bus,C-19 NN,Barrio 5C → Avenida Victor Raul Haya de la Torre,Barrio 5C,Avenida Victor Raul Haya de la Torre,MENSAJEROS DEL SEÑOR S.A.,Transporte Público Urbano Trujillo,#0b5394,2
19971440,route,bus,C-20 UI,Alto Trujillo → Valle Sol,Alto Trujillo,Valle Sol,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19971427,route,bus,C-20 UI,Valle Sol → Alto Trujillo,Valle Sol,Alto Trujillo,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19972128,route,bus,C-21 R,Alto Trujillo → Valle Sol,Alto Trujillo,Valle Sol,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19972121,route,bus,C-21 R,Valle Sol → Alto Trujillo,Valle Sol,Alto Trujillo,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19972157,route,bus,C-22 M,Alto Trujillo → Valle So,Alto Trujillo,Valle So,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19972155,route,bus,C-22 M,Valle So → Alto Trujillo,Valle So,Alto Trujillo,LUZ DIVINA S.A.,Transporte Público Urbano Trujillo,#00FF00,2
19970891,route,bus,C-23 S1,Calle José Joaquín Inclán → Calle Venezuela,Calle José Joaquín Inclán,Calle Venezuela,SANTA CATALINA S.A.,Transporte Público Urbano Trujillo,#cc0099,2
19970882,route,bus,C-23 S1,Calle Venezuela → Calle José Joaquín Inclán,Calle Venezuela,Calle José Joaquín Inclán,SANTA CATALINA S.A.,Transporte Público Urbano Trujillo,#cc0099,2
19972158,route,bus,"C-24 H1, H2",Avenida Larco → Calle 01,Avenida Larco,Calle 01,SANTA CATALINA S.A.,Transporte Público Urbano Trujillo,#cc0099,2
19970967,route,bus,"C-24 H1, H2",Calle 01 → Avenida Larco,Calle 01,Avenida Larco,SANTA CATALINA S.A.,Transporte Público Urbano Trujillo,#cc0099,2
19972081,route,bus,C-25 S2,Avenida Julian Arce → Calle Manuel Romero,Avenida Julian Arce,Calle Manuel Romero,EL AGUILA S.A.,Transporte Público Urbano Trujillo,#0000FF,2
19972086,route,bus,C-25 S2,Calle Manuel Romero → Avenida Julian Arce,Calle Manuel Romero,Avenida Julian Arce,EL AGUILA S.A.,Transporte Público Urbano Trujillo,#0000FF,2
19972095,route,bus,C-26 U,Avenida Julian Arce → Óvalo Grau,Avenida Julian Arce,Óvalo Grau,EL AGUILA S.A.,Transporte Público Urbano Trujillo,#0000FF,2
19972123,route,bus,C-26 U,Óvalo Grau → Avenida Julian Arce,Óvalo Grau,Avenida Julian Arce,EL AGUILA S.A.,Transporte Público Urbano Trujillo,#0000FF,2
19972130,route,bus,C-27 B,Avenida Circunvalación → Avenida José María Eguren,Avenida Circunvalación,Avenida José María Eguren,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972154,route,bus,C-27 B,Avenida José María Eguren → Avenida Circunvalación,Avenida José María Eguren,Avenida Circunvalación,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972163,route,bus,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,Sector Cerrito La Virgen,Óvalo Los Sauces,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972190,route,bus,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,Sector Cerrito La Virgen,Óvalo Los Sauces,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19988797,route,bus,C-28 C,Sector Cerrito La Virgen → Óvalo Los Sauces,Sector Cerrito La Virgen,Óvalo Los Sauces,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972176,route,bus,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,Óvalo Los Sauces,Sector Cerrito La Virgen,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19972196,route,bus,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,Óvalo Los Sauces,Sector Cerrito La Virgen,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
19988815,route,bus,C-28 C,Óvalo Los Sauces → Sector Cerrito La Virgen,Óvalo Los Sauces,Sector Cerrito La Virgen,CABALLITO DE TOTORA S.A.,Transporte Público Urbano Trujillo,#000099,2
