trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
19946938,06:17:00,06:17:00,AMS-41,14,0,0
19946938,06:18:00,06:18:00,AMS-61,15,0,0
19946938,06:19:00,06:19:00,AMS-65,16,0,0
19946938,06:21:00,06:21:00,AMS-60,17,0,0
19946938,06:22:00,06:22:00,CEV-182,18,0,0
19946938,06:23:00,06:23:00,CEV-181,19,0,0
19946938,06:25:00,06:25:00,FEVI-225,20,0,0
19946938,06:30:00,06:30:00,FEVI-216,21,0,0
19946938,06:33:00,06:33:00,TEVA-340,22,0,0
19946938,06:34:00,06:34:00,TUPAT-122,23,0,0
19946938,06:36:00,06:36:00,TUPAT-125,24,0,0
19946938,06:38:00,06:38:00,PE-302,25,0,0
19946938,06:42:00,06:42:00,PE-198,26,0,0
19946938,06:44:00,06:44:00,PE-189,27,0,0
19946938,06:45:00,06:45:00,PE-188,28,0,0
19946938,06:46:00,06:46:00,PE-272,29,0,0
19946938,06:47:00,06:47:00,PE-274,30,0,0
19946938,06:48:00,06:48:00,PE-275,31,0,0
19946938,06:49:00,06:49:00,PE-237_1,32,0,0
19946938,06:52:00,06:52:00,PH-135,33,0,0
19946938,06:54:00,06:54:00,PH-115,34,0,0
19946938,06:55:00,06:55:00,PH-133,35,0,0
19946938,06:56:00,06:56:00,PH-132,36,0,0
19946938,06:57:00,06:57:00,PH-131,37,0,0
19946938,06:58:00,06:58:00,PH-130,38,0,0
19946938,06:59:00,06:59:00,PH-129,39,0,0
19946938,07:00:00,07:00:00,PH-128,40,0,0
19946938,07:01:00,07:01:00,PH-140,41,0,0
19946938,07:06:00,07:06:00,PH-137,42,0,0
19946938,07:08:00,07:08:00,PH-136,43,0,0
19946938,07:09:00,07:09:00,SYNTH_END_19946938,44,1,0
19950139,06:00:00,06:00:00,SYNTH_START_19950139,1,0,1
19950139,06:01:00,06:01:00,PE-104,2,0,0
19950139,06:02:00,06:02:00,PE-105,3,0,0
19950139,06:03:00,06:03:00,PE-116,4,0,0
19950139,06:04:00,06:04:00,PE-115,5,0,0
19950139,06:06:00,06:06:00,PE-108,6,0,0
19950139,06:07:00,06:07:00,PE-102,7,0,0
19950139,06:08:00,06:08:00,PE-101,8,0,0
19950139,06:09:00,06:09:00,PE-100,9,0,0
19950139,06:10:00,06:10:00,PE-277,10,0,0
19950139,06:11:00,06:11:00,PE-273,11,0,0
19950139,06:12:00,06:12:00,PE-271,12,0,0
19950139,06:13:00,06:13:00,PE-43,13,0,0
19950139,06:14:00,06:14:00,PE-42,14,0,0
19950139,06:16:00,06:16:00,PE-50,15,0,0
19950139,06:17:00,06:17:00,PE-44,16,0,0
