osm_id,osm_type,nombre,lat,lon,pt_type,operator,network,route_ref
4211528281,node,"Erik el Rojo (a Casma, Lima)",-8.1265199,-79.0220451,bus_station,,,
11961185331,node,Estación Arco Iris Express,-8.0151728,-79.0681985,bus_station,,,
11969206685,node,Estación Caballito de Totora,-8.1199481,-79.008683,bus_station,,,
11970129203,node,"Estación California ""A""",-8.0488775,-79.0534383,bus_station,,,
11970128209,node,"Estación California ""C""",-8.0066536,-79.0700787,bus_station,,,
11969191751,node,Estación Corazón de Jesus,-8.0872306,-78.9624202,bus_station,,,
11969145724,node,Estación El Aguila,-8.087767,-78.962903,bus_station,,,
11972436686,node,Estación El Cortijo,-8.0633619,-78.9908356,bus_station,,,
11973553589,node,Estación El Icaro,-8.0464501,-79.0855712,bus_station,,,
11972567225,node,Estación Esperanza Express,-8.0137904,-79.0661466,bus_station,,,
11970157539,node,Estación Huanchaco,-8.0898383,-79.115561,bus_station,,,
11970157540,node,Estación Huanchaco,-8.0891133,-79.115341,bus_station,,,
11972433766,node,Estación La Libertad,-8.0480728,-79.0084925,bus_station,,,
11969257390,node,Estación Los Diamantes,-8.060195,-79.0219626,bus_station,,,
11969242602,node,Estación Los Girasoles,-8.0545476,-79.0777177,bus_station,,,
11960916368,node,Estación Los Modernos Girasoles,-8.0530099,-79.0704355,bus_station,,,
11830527670,node,Estación Luz Divina,-8.0677484,-78.9803696,platform,,,
11969148185,node,Estación Luz Divina,-8.0475748,-79.0001227,bus_station,,,
11969255160,node,Estación Miramar,-8.0622332,-79.0320531,bus_station,,,
11969255161,node,Estación Miramar,-8.1784099,-78.9921109,bus_station,,,
11961428145,node,Estación Mochica,-8.0602335,-79.0220967,bus_station,,,
11970183476,node,Estación Nuevo California,-8.1386862,-79.0572014,bus_station,,,
11961499181,node,Estación Nuevo Diamante,-8.0601631,-79.0221141,bus_station,,,
11954301079,node,"Estación Nuevo Girasoles ""B""",-8.0146403,-79.0679759,bus_station,,,
11956587598,node,"Estación Nuevo Girasoles ""JJ""",-8.0451275,-79.0674099,bus_station,,,
11972523434,node,Estación Salaverry Express,-8.0636886,-79.0224849,bus_station,,,
11961392416,node,Estación San Isidro Labrador,-8.0619544,-79.0338072,bus_station,,,
11961392417,node,Estación San Isidro Labrador,-8.1787192,-78.9916992,bus_station,,,
11969142608,node,Estación Santa Catalina,-8.0874244,-78.9626509,bus_station,,,
11961440203,node,Estación Santa Lucia de Moche,-8.0547016,-79.023242,bus_station,,,
11969191866,node,Estación Señor de la Misericordia,-8.0872637,-78.9624672,bus_station,,,
11972490260,node,Estación Señor de los Milagros,-8.0606053,-79.0440372,bus_station,,,
11956603068,node,Estación Titanic Express,-7.9930238,-79.0744534,bus_station,,,
11972522301,node,Estación Virgen de la Puerta,-8.1379932,-79.0613401,bus_station,,,
11961499557,node,Estación Virgen del Arco,-8.0493038,-78.9945665,bus_station,,,
4272459389,node,Flores,-8.1040817,-79.0227411,bus_station,,,
4246243787,node,Flores terminal,-8.1038288,-79.0225289,bus_station,Flores,,
11913698215,node,Hermelinda Express,-8.0889905,-79.0250545,platform,,,
12121155297,node,Jirón Ascenso Segura,-8.18351,-79.0102299,platform,,,
11895957224,node,Jirón Estete,-8.105858,-79.0277112,platform,,,
5099440457,node,Jirón Independencia,-8.1145182,-79.0322849,platform,,,
12121157801,node,Jirón José Galvez,-8.1694508,-79.0107644,platform,,,
12121155279,node,Jirón Libertad,-8.0814487,-79.1190961,stop_position,,,
5099494789,node,Jirón Rimac,-8.106684,-79.0227491,platform,,,
12121155300,node,Jirón Rodolfo Espinar,-8.1696167,-79.0107952,platform,,,
5099494791,node,Jirón Unión,-8.1080252,-79.02188,platform,,,
11895923334,node,Jirón Unión,-8.1082273,-79.0219425,platform,,,
11910241197,node,José Maria Eguren,-8.1099454,-79.0216139,platform,,,
11910241198,node,José Maria Eguren,-8.1103671,-79.0217526,platform,,,
5914113707,node,Linea Transporte,-8.1264812,-79.0277767,bus_station,,,
11911534033,node,Los Pinos,-8.1002956,-79.0626329,platform,,,
4761038221,node,Nuevo Pakatnamu,-8.0993108,-79.0368263,bus_station,,,
4285409090,node,Oltursa,-8.104001,-79.0226738,bus_station,,,
11911534027,node,Ovalo Mochica,-8.0944907,-79.0393943,platform,,,
4528673616,node,Pacífico,-8.090361,-79.0069086,bus_station,Transportes Pacífico,,
5082686253,node,Panamericana Norte,-8.1336578,-79.0190363,platform,,,
12121155275,node,Panamericana Norte,-8.1336752,-79.0192297,platform,,,
12121155293,node,Panamericana Norte,-8.1490573,-79.0115824,platform,,,
12121157805,node,Panamericana Norte,-8.1680737,-79.0061696,platform,,,
5467988221,node,Parada Mall (huanchaco-trujillo),-8.1009416,-79.0492709,stop_position,,,
13480970951,node,Paradero Luz del Sol,-7.9985549,-79.0727434,platform,,,
13523198527,node,Paradero Simbal,-7.9779919,-78.8152993,platform,,,
4951569723,node,Paradero autos a Salaverry,-8.1141688,-79.0234581,stop_position,,,
4280736889,node,Paradero carros Simbal,-8.1013361,-79.0116561,stop_position,,,
4960420724,node,Paradero de minivans Otuzco 15 soles,-8.094639,-79.0092751,platform,,,
11910518838,node,Pasaje E. Dunker la Valle,-8.0968833,-79.0381108,platform,,,
11910518840,node,Pasaje Elvira Esparza,-8.1045124,-79.0337227,stop_position,,,
