nombre,lat,lon,capa,fid,elaborado,supervisor
PE-117,-8.047883916999979,-79.05276839399994,Consolidado,1211,,
PE-118,-8.050025448999975,-79.05136412499996,Consolidado,1212,,
PE-119,-8.049360037999975,-79.05375771799999,Consolidado,1213,,
PE-12,-8.049005428999976,-79.07049575499997,Consolidado,1106,,
PE-120,-8.052881732999936,-79.05013143099995,Consolidado,1214,,
PE-121,-8.05514521899994,-79.07868211699997,Consolidado,1215,,
PE-122,-8.055495105999967,-79.07685121899993,Consolidado,1216,,
PE-123,-8.05766179099993,-79.07493186399995,Consolidado,1217,,
PE-124,-8.057341617999953,-79.07377679799998,Consolidado,1218,,
PE-125,-8.058787346999964,-79.07456477799997,Consolidado,1219,,
PE-126,-8.055408184999976,-79.07461527099997,Consolidado,1220,,
PE-127,-8.052220449999936,-79.07534835399997,Consolidado,1221,,
PE-128,-8.053864846999943,-79.07390272599997,Consolidado,1222,,
PE-129,-8.052962692999927,-79.07828739499996,Consolidado,1223,,
PE-13,-8.050974400999962,-79.07276339599997,Consolidado,1107,,
PE-130,-8.051014794999958,-79.07601699999998,Consolidado,1224,,
PE-131,-8.049205607999966,-79.07389696499996,Consolidado,1225,,
PE-132,-8.047364933999972,-79.07181711499999,Consolidado,1226,,
PE-133,-8.045767462999947,-79.06987950999996,Consolidado,1227,,
PE-134,-8.054412958999933,-79.07668623299998,Consolidado,1228,,
PE-135,-8.052619077999964,-79.07456265999997,Consolidado,1229,,
PE-136,-8.050851259999945,-79.07248251499999,Consolidado,1230,,
PE-137,-8.049026589999926,-79.07036052399997,Consolidado,1231,,
PE-138,-8.047412531999953,-79.06843252599998,Consolidado,1232,,
PE-139,-8.05101248799997,-79.07103163699998,Consolidado,1233,,
PE-14,-8.052974784999947,-79.07512619099998,Consolidado,1108,,
PE-140,-8.049164750999978,-79.06886957199998,Consolidado,1234,,
PE-141,-8.055857557999957,-79.07154112399996,Consolidado,1235,,
PE-142,-8.053693307999936,-79.07039568299996,Consolidado,1236,,
PE-143,-8.05361831199997,-79.06813228599998,Consolidado,1237,,
PE-144,-8.055016635999948,-79.06543637199997,Consolidado,1238,,
PE-145,-8.05616573499998,-79.06324371999995,Consolidado,1239,,
PE-146,-8.048807818999933,-79.06584564999997,Consolidado,1240,,
PE-147,-8.050011635999965,-79.06341031499994,Consolidado,1241,,
PE-148,-8.051263535999965,-79.06098761599998,Consolidado,1242,,
PE-149,-8.052526099999966,-79.05870361199999,Consolidado,1243,,
PE-15,-8.05454278999997,-79.07695595099995,Consolidado,1109,,
PE-150,-8.052749245999962,-79.06683353299996,Consolidado,1244,,
PE-151,-8.050788773999955,-79.06579563999998,Consolidado,1245,,
PE-152,-8.048900183999933,-79.06038561699995,Consolidado,1246,,
PE-153,-8.047637426999927,-79.06272403599996,Consolidado,1247,,
PE-154,-8.046516597999926,-79.06487627099995,Consolidado,1248,,
PE-155,-8.067230841999958,-79.07551524199994,Consolidado,1249,,
PE-156,-8.06455211399998,-79.07848648099997,Consolidado,1250,,
PE-157,-8.06581521499993,-79.07696897899996,Consolidado,1251,,
PE-158,-8.056679244999941,-79.07929303699996,Consolidado,1252,,
PE-159,-8.059452928999974,-79.07612328399995,Consolidado,1253,,
PE-16,-8.04896224199996,-79.06880416199994,Consolidado,1110,,
PE-160,-8.065166297999951,-79.06533299099993,Consolidado,1254,,
PE-161,-8.066587931999948,-79.06846438999997,Consolidado,1255,,
PE-162,-8.068054810999968,-79.07158210799997,Consolidado,1256,,
PE-163,-8.06387091199997,-79.06699467199996,Consolidado,1257,,
PE-164,-8.062900861999935,-79.06949133699999,Consolidado,1258,,
PE-165,-8.061771128999965,-79.07164992599996,Consolidado,1259,,
PE-166,-8.060665184999948,-79.07380459799998,Consolidado,1260,,
PE-167,-8.064416601999937,-79.06830228499996,Consolidado,1261,,
