nombre,lat,lon,capa,fid,elaborado,supervisor
PE-201,-8.072242853999967,-79.05059758699997,Consolidado,1295,,
PE-202,-8.073188320999975,-79.05323476099994,Consolidado,1296,,
PE-203,-8.073064173999967,-79.05496785699995,Consolidado,1297,,
PE-204,-8.07083221399995,-79.05577851799995,Consolidado,1298,,
PE-205,-8.067722664999962,-79.05683912599994,Consolidado,1299,,
PE-206,-8.06561923299995,-79.05758845599996,Consolidado,1300,,
PE-207,-8.06399173799997,-79.05769395399994,Consolidado,1301,,
PE-208,-8.062887469999964,-79.05484934599997,Consolidado,1302,,
PE-209,-8.065003059999981,-79.06041967899995,Consolidado,1303,,
PE-21,-8.056347961999961,-79.07210802499998,Consolidado,1115,,
PE-210,-8.067323622999936,-79.06060083599994,Consolidado,1304,,
PE-211,-8.070973281999954,-79.05933128599997,Consolidado,1305,,
PE-212,-8.073529833999942,-79.05833971099997,Consolidado,1306,,
PE-213,-8.072575006999955,-79.06062067899995,Consolidado,1307,,
PE-214,-8.073179871999969,-79.06147745399994,Consolidado,1308,,
PE-215,-8.074630320999972,-79.05984812799994,Consolidado,1309,,
PE-216,-8.074295423999956,-79.05643468199997,Consolidado,1310,,
PE-217,-8.07603641199995,-79.05670251799995,Consolidado,1311,,
PE-218,-8.078439439999954,-79.05576914299996,Consolidado,1312,,
PE-219,-8.08083862799998,-79.05482774599994,Consolidado,1313,,
PE-22,-8.060287823999943,-79.07697199899997,Consolidado,1116,,
PE-220,-8.08089318499998,-79.05016070699997,Consolidado,1314,,
PE-221,-8.077988563999952,-79.05148006799999,Consolidado,1315,,
PE-222,-8.075489923999953,-79.05265308899999,Consolidado,1316,,
PE-223,-8.072578047999968,-79.04912380299999,Consolidado,1317,,
PE-224,-8.075678170999936,-79.04776460199997,Consolidado,1318,,
PE-225,-8.078827312999977,-79.04632484399997,Consolidado,1319,,
PE-226,-8.080707397999959,-79.04841268499996,Consolidado,1320,,
PE-227,-8.055710412999929,-79.04858437299998,Consolidado,1321,,
PE-228,-8.056784577999963,-79.05021983399996,Consolidado,1322,,
PE-229,-8.057520129999943,-79.04887287399998,Consolidado,1323,,
PE-23,-8.05843435099996,-79.07856919999995,Consolidado,1117,,
PE-230,-8.056431127999929,-79.05093760899996,Consolidado,1324,,
PE-231,-8.06054113099998,-79.04785479999998,Consolidado,1325,,
PE-232,-8.061483824999925,-79.04924071199997,Consolidado,1326,,
PE-233,-8.062138122999954,-79.05201784099995,Consolidado,1327,,
PE-234,-8.062785319999932,-79.04787304799999,Consolidado,1328,,
PE-235,-8.064439252999932,-79.04615705799995,Consolidado,1329,,
PE-236,-8.04598928699994,-79.05737732999995,Consolidado,1330,,
PE-237,-8.049601165999945,-79.05634030399995,Consolidado,1331,,
