route_id,agency_id,route_short_name,route_long_name,route_color,route_type
19972065,15,C-08 O,Ca. San Martín → Ca. Jirón los Algarobos,,3
19972072,16,C-41 Z2,Av. Dinamarca → Distrito Huanchaco,,3
19972081,28,C-25 S2,Av. Julian Arce → Ca. Manuel Romero,,3
19972086,28,C-25 S2,Ca. Manuel Romero → Av. Julian Arce,,3
19972095,28,C-26 U,Av. Julian Arce → Óvalo Grau,,3
19972103,21,C-14 S,Campiña de Moche → Ca. José Galvez,,3
19972121,27,C-21 R,Urb. Valle Sol → Alto Trujillo,,3
19972123,28,C-26 U,Óvalo Grau → Av. Julian Arce,,3
19972128,27,C-21 R,Alto Trujillo → Urb. Valle Sol,,3
19972130,29,C-27 B,Av. Circunvalación → Av. José María Eguren,,3
19972154,29,C-27 B,Av. José María Eguren → Av. Circunvalación,,3
19972155,27,C-22 M,Urb. Valle So → Alto Trujillo,,3
19972157,27,C-22 M,Alto Trujillo → Urb. Valle So,,3
19972158,25,"C-24 H1, H2",Av. Larco → Ca. 01,,3
19972163,29,C-28 C,Sector Cerrito La Virgen → Óvalo Urb. Los Sauces,,3
19972175,29,C-29 A,Sector Las Lomas → Urb. Los Sauces de Barraza,,3
19972176,29,C-28 C,Óvalo Urb. Los Sauces → Sector Cerrito La Virgen,,3
19972187,29,C-29 A,Urb. Los Sauces de Barraza → Sector Las Lomas,,3
19972190,29,C-28 C,Sector Cerrito La Virgen → Óvalo Urb. Los Sauces,,3
19972191,30,C-13 D,Sector Taquila → Alto Trujillo,,3
19972195,30,C-13 D,Alto Trujillo → Sector Taquila,,3
19972196,29,C-28 C,Óvalo Urb. Los Sauces → Sector Cerrito La Virgen,,3
19972422,29,C-29 A,Sector Las Lomas → Urb. Los Sauces de Barraza,,3
19972433,29,C-29 A,Urb. Los Sauces de Barraza → Sector Las Lomas,,3
19972458,31,C-40 W,Barrio 1B → Av. San José,,3
19972461,32,C-30 C,Sector Cushmun → Av. Los Laureles,,3
19972466,31,C-40 W,Av. San José → Barrio 1B,,3
19972467,31,C-44 T2,Barrio 1B → Av. San José,,3
19972470,32,C-30 C,Av. Los Laureles → Sector Cushmun,,3
19972472,31,C-44 T2,Av. San José → Barrio 1B,,3
19972473,32,C-31 P,Sector Huangabal → Av. Prolongación Santa,,3
19972474,31,C-39 S,Ca. Inca Roca → Ca. Jirón Santa Isabel,,3
19972475,31,C-39 S,Av. San José → Ca. Ascencio Vergara,,3
19972478,33,C-38 S4,Av. Luis Condemarín → Av. Luis Condemarín,,3
19972479,32,C-31 P,Av. Prolongación Santa → Sector Huangabal,,3
19972496,32,C-32 S,Mucha → Urb. Palermo,,3
19972502,32,C-32 S,Urb. Palermo → Mucha,,3
19972504,34,C-36 Y,Urb. San Andrés 5ta Etapa → A.H. Víctor Raúl Haya de La Torre,,3
19972505,34,C-36 Y,A.H. Víctor Raúl Haya de La Torre → Urb. San Andrés 5ta Etapa,,3
19972508,35,C-15 P1,Sector Tres Cruces → Av. America del Sur,,3
19972509,34,C-35 S3,Urb. Buganvillas del Golf → A.H. Víctor Raúl Haya de La Torre,,3
19972510,34,C-35 S3,A.H. Víctor Raúl Haya de La Torre → Urb. Buganvillas del Golf,,3
19972512,21,C-34 G,A.H. Virgen del Socorro → A.H. Virgen del Socorro,,3
19972515,35,C-33 P2,Sector Platanar → Av. America del Sur,,3
19972516,35,C-33 P2,Av. América Sur → Sector Platanar,,3
19972901,5,M-17 C2,Av. Dos → Av. Dos,,3
19972938,3,M-13 C1,A.H. Ciudad de Dios → A.H. Ciudad de Dios,,3
19973156,5,M-18 C1,Av. Dos → Av. Dos,,3
19973224,21,C-42 B2,Jirón Venezuela → Av. Libertad,,3
19973251,21,C-42 B2,Av. Cesar Vallejo → Av. Libertad,,3
19973922,21,C-42 B2,Av. Libertad → Av. Cesar Vallejo,,3
19973932,21,C-42 B2,Av. Libertad → Jirón Venezuela,,3
19973941,21,C-34 G,A.H. Virgen del Socorro → A.H. Virgen del Socorro,,3
19973946,35,C-15 P1,Av. America del Sur → Sector Tres Cruces,,3
19973949,35,C-15 P1,Sector Huayabito → Av. America del Sur,,3
19973958,35,C-15 P1,Av. America del Sur → Sector Huayabito,,3
19975974,1,M-05 H,Av. la Paz → Av. la Paz,,3
19976195,6,M-21 A,Av. 12 de Noviembre → Sector Nuevo Horizonte,,3
19976301,3,M-15 C2,Sector Santa María Alta → A.H. Ciudad de Dios,,3
19976312,1,M-04 A,A.H. Cerro La Virgen → A.H. Cerro La Virgen,,3
19976337,5,M-17 C2,Av. Dos → Av. Dos,,3
19977991,31,C-44 T2,Barrio 1B → Av. San José,,3
19988569,23,C-18 P,Av. Cesar Vallejo → Cruce Vial S/N,,3
19988589,33,C-38 S4,Av. Luis Condemarín → Av. Luis Condemarín,,3
19988601,36,C-15 P1,Sector Tres Cruces → Av. América Sur,,3
19988606,36,C-15 P1,Av. America del Sur → Sector Tres Cruces,,3
19988678,36,C-15 P1,Sector Huayabito → Av. America del Sur,,3
19988688,36,C-15 P1,Av. America del Sur → Sector Huayabito,,3
19988714,36,C-33 P2,Sector Platanar → Av. America del Sur,,3
19988728,36,C-33 P2,Av. America del Sur → Sector Platanar,,3
19988797,29,C-28 C,Sector Cerrito La Virgen → Óvalo Urb. Los Sauces,,3
19988815,29,C-28 C,Óvalo Urb. Los Sauces → Sector Cerrito La Virgen,,3
19990111,18,C-11 T1,Panamericana Norte → Alto Porvenir,,3
19990115,18,C-11 T1,Alto Porvenir → Panamericana Norte,,3
19990157,22,C-45 C,Ca. Miguiel Graú → Av. 12 de Noviembre,,3
19990165,22,C-45 C,Ca. Miguiel Graú → Av. 12 de Noviembre,,3
19990939,32,C-32 S,Urb. Palermo → Sector Collambay,,3
19991778,32,C-32 S,Sector Collambay → Urb. Palermo,,3
