trip_id,route_id,service_id,shape_id
117,19971417,Mo-Su,19971417
118,19971427,Mo-Su,19971427
119,19971440,Mo-Su,19971440
120,19971942,Mo-Su,19971942
121,19971967,Mo-Su,19971967
122,19971999,Mo-Su,19971999
123,19972008,Mo-Su,19972008
124,19972010,Mo-Su,19972010
125,19972018,Mo-Su,19972018
126,19972027,Mo-Su,19972027
127,19972041,Mo-Su,19972041
128,19972045,Mo-Su,19972045
129,19972046,Mo-Su,19972046
130,19972051,Mo-Su,19972051
131,19972060,Mo-Su,19972060
132,19972065,Mo-Su,19972065
133,19972072,Mo-Su,19972072
134,19972081,Mo-Su,19972081
135,19972086,Mo-Su,19972086
136,19972095,Mo-Su,19972095
137,19972103,Mo-Su,19972103
138,19972121,Mo-Su,19972121
139,19972123,Mo-Su,19972123
140,19972128,Mo-Su,19972128
141,19972130,Mo-Su,19972130
142,19972154,Mo-Su,19972154
143,19972155,Mo-Su,19972155
144,19972157,Mo-Su,19972157
145,19972158,Mo-Su,19972158
146,19972163,Mo-Su,19972163
147,19972175,Mo-Su,19972175
148,19972176,Mo-Su,19972176
149,19972187,Mo-Su,19972187
150,19972190,Mo-Su,19972190
151,19972191,Mo-Su,19972191
152,19972195,Mo-Su,19972195
153,19972196,Mo-Su,19972196
154,19972422,Mo-Su,19972422
155,19972433,Mo-Su,19972433
156,19972458,Mo-Su,19972458
157,19972461,Mo-Su,19972461
158,19972466,Mo-Su,19972466
159,19972467,Mo-Su,19972467
160,19972470,Mo-Su,19972470
161,19972472,Mo-Su,19972472
162,19972473,Mo-Su,19972473
163,19972474,Mo-Su,19972474
164,19972475,Mo-Su,19972475
165,19972478,Mo-Su,19972478
166,19972479,Mo-Su,19972479
167,19972496,Mo-Su,19972496
168,19972502,Mo-Su,19972502
169,19972504,Mo-Su,19972504
170,19972505,Mo-Su,19972505
171,19972508,Mo-Su,19972508
172,19972509,Mo-Su,19972509
173,19972510,Mo-Su,19972510
174,19972512,Mo-Su,19972512
175,19972515,Mo-Su,19972515
176,19972516,Mo-Su,19972516
177,19972901,Mo-Su,19972901
178,19972938,Mo-Su,19972938
179,19973156,Mo-Su,19973156
180,19973224,Mo-Su,19973224
181,19973251,Mo-Su,19973251
182,19973922,Mo-Su,19973922
183,19973932,Mo-Su,19973932
184,19973941,Mo-Su,19973941
185,19973946,Mo-Su,19973946
186,19973949,Mo-Su,19973949
187,19973958,Mo-Su,19973958
188,19975974,Mo-Su,19975974
189,19976195,Mo-Su,19976195
190,19976301,Mo-Su,19976301
191,19976312,Mo-Su,19976312
192,19976337,Mo-Su,19976337
193,19977991,Mo-Su,19977991
194,19988569,Mo-Su,19988569
195,19988589,Mo-Su,19988589
196,19988601,Mo-Su,19988601
197,19988606,Mo-Su,19988606
198,19988678,Mo-Su,19988678
199,19988688,Mo-Su,19988688
200,19988714,Mo-Su,19988714
201,19988728,Mo-Su,19988728
202,19988797,Mo-Su,19988797
203,19988815,Mo-Su,19988815
204,19990111,Mo-Su,19990111
205,19990115,Mo-Su,19990115
206,19990157,Mo-Su,19990157
207,19990165,Mo-Su,19990165
208,19990939,Mo-Su,19990939
209,19991778,Mo-Su,19991778
